
Puig de l'Àliga; Osona; Serra de Curull, Serralada Transversal; 1.344,2 m 
Turó de Sant Miquel;  ; massís del Montseny, Serralada Prelitoral; 1.339,2 m 
Turó de Castellar;  ; massís del Montseny, Serralada Prelitoral; 1.325,0 m 
el Sui; Vallès Oriental; massís del Montseny, Serralada Prelitoral; 1.319,0 m 
Turó de Morou; Vallès Oriental, Selva; massís del Montseny, Serralada Prelitoral; 1.311,7m. 
Cabrera; Garrotxa, Osona; Collsacabra, Serralada Transversal; 1.307,7 m 
Turó del Samont; Vallès Oriental; massís del Montseny, Serralada Prelitoral; 1.272,0 m 
Puig Neulós; Alt Empordà, Rosselló; Serra de l'Albera; 1.256,0 m 
Bellmunt; Osona; Serra de Bellmunt, Serralada Transversal; 1.246,9 m 
Sant Jeroni; Anoia, Bages, Baix Llobregat; Montserrat, Serralada Prelitoral; 1.236,4 m 
Turó dels Maçaners;  ; massís del Montseny, Serralada Prelitoral; 1.231,6 m 
Puig Cornador; Ripollès; Girona; 1.229,2 m 
Turó de l'Oriol (Seva);  ; massís del Montseny, Serralada Prelitoral; 1.224,1 m 
Tosseta Rasa; Terra Alta; Ports de Tortosa-Beseit, Sistema Ibèric1.219 m
Punta de la Torroja; Montsià, Aragó; Ports de Tortosa-Beseit, Sistema Ibèric; 1.204,8 m 
Tossal de la Baltasana; Baix Camp, Conca de Barberà; Muntanyes de Prades, Serralada Prelitoral1.203 m
Sant Miquel de Solterra; Selva; Guilleries, Serralada Prelitoral1.203 m
Rocallarga; Osona; Serralada Transversal; 1.186,5 m 
L'Espina; Terra Alta, Baix Ebre; Ports de Tortosa-Beseit, Sistema Ibèric1.181 m
Puntal de l'Albarda; Baix Llobregat; Montserrat1.177 m
Roca Corbatera; Priorat; Serra de Montsant, Serralada Prelitoral Catalana1.163 m
Sant Benet; La Selva; Girona; 1.150 m 
Montgròs (el Bruc) ; Anoia; Montserrat; 1.133 m 
Mola d'Estat; Baix Camp, Conca de Barberà; Muntanyes de Prades; 1.127,3 m 
El Mont; Alt Empordà; Prepirineu; 1.123,1 m 
Mola del Guerxet; Conca de Barberà; Tarragona; 1.121,2 m 
Mola dels Quatre Termes; Baix Camp, Conca de Barberà; Muntanyes de Prades; 1.117,7 m 
el Far; Selva; Collsacabra, Serralada Transversal; 1.110,3 m 
Piló dels Senyalets; Priorat; Tarragona; 1.107 m 
La Mola; Vallès Occidental; Sant Llorenç del Munt, Serralada Prelitoral1.104 m
Punta de l'Aigua; Baix Ebre, Terra Alta; Tarragona; 1.091,6 m 
El Montmajor; Garrotxa; Serralada Transversal; 1.073,8 m 
Tossal d'Engrilló; Terra Alta; Tarragona; 1.072 m 
Els Munts; Osona;  ; 1.057,1 m 
El Montcau; Vallès Occidental, Bages; Sant Llorenç del Munt, Serralada Prelitoral; 1.056,7 m 
Tagamanent; Vallès Oriental; massís del Montseny, Serralada Prelitoral; 1.055,9 m 
la Mussara; Baix Camp; Muntanyes de Prades, Serralada Prelitoral; 1.055,6 m 
Turó de Bellver; Osona; (; 1.041,5 m 
Puigsallança; Garrotxa; Serra de Finestres, Serralada Transversal; 1.026,2 m 
Puig Castellar; Osona; (; 1.017 m 
Punta de la Barrina; Alt Camp; Muntanyes de Prades, Serralada Prelitoral; 1.013,6 m 
